INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
269311789,06/04/2023,21:01:00,QUEENS,OUTSIDE,109,0,STREET,(null),N,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1032051,217053,,,
269307857,06/04/2023,00:20:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK,1017036,183890,,,
265303128,03/18/2023,03:45:00,QUEENS,OUTSIDE,102,0,OTHER,HOSPITAL,N,25-44,M,BLACK,25-44,M,BLACK,1030953,194101,,,
263482956,02/12/2023,01:13:00,MANHATTAN,OUTSIDE,33,0,OTHER,HOSPITAL,N,(null),(null),(null),25-44,M,BLACK,1000795,245489,40.840472,-73.940202,POINT (-73.940202 40.840472)
262586366,01/26/2023,18:23:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1011203,174514,40.645639,-73.902874,POINT (-73.902874 40.645639)
268295740,05/15/2023,20:41:00,QUEENS,OUTSIDE,113,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1040097,186349,40.677988,-73.798655,POINT (-73.798655 40.677988)
268302279,05/15/2023,19:30:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,999516,192804,40.695867,-73.944946,POINT (-73.944946 40.695867)
267492349,04/29/2023,21:49:00,BROOKLYN,OUTSIDE,66,0,STREET,(null),N,45-64,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,982070,170773,40.63541,-74.007852,POINT (-74.007852 40.63541)
269184588,06/01/2023,20:18:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1008787,243961,40.836258,-73.911326,POINT (-73.911326 40.836258)
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1025687,268586,40.903785,-73.850098,POINT (-73.850098 40.903785)
264262260,02/26/2023,18:06:00,QUEENS,OUTSIDE,113,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,F,BLACK,1044258,189029,40.685317,-73.78363,POINT (-73.78363 40.685317)
264838131,01/27/2023,18:00:00,BROOKLYN,INSIDE,81,0,DWELLING,MULTI DWELL - APT BUILD,Y,45-64,M,BLACK,25-44,M,BLACK,1004918,190071,40.688354,-73.925473,POINT (-73.925473 40.688354)
262334288,01/21/2023,21:17:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK,1003231,167629,40.626762,-73.931618,POINT (-73.931618 40.626762)
261307948,01/03/2023,03:19:00,BROOKLYN,INSIDE,72,0,COMMERCIAL,BAR/NIGHT CLUB,N,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,982383,177997,40.655237,-74.006726,POINT (-74.006726 40.655237)
266896911,04/18/2023,06:21:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),N,45-64,M,BLACK,45-64,M,BLACK,1014772,176527,40.65114986,-73.89000444,POINT (-73.89000444 40.65114986)
264657996,03/06/2023,19:50:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,986638,193879,40.69883,-73.991388,POINT (-73.991388 40.69883)
267859151,05/06/2023,04:30:00,BRONX,OUTSIDE,48,0,STREET,BAR/NIGHT CLUB,Y,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1013434,248939,40.849909,-73.894509,POINT (-73.894509 40.849909)
270078983,06/19/2023,17:49:00,BROOKLYN,OUTSIDE,79,0,STREET,MULTI DWELL - APT BUILD,Y,(null),(null),(null),<18,M,BLACK,1000794,192312,40.694515,-73.940339,POINT (-73.940339 40.694515)
